image_00167.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00168.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00169.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00170.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00171.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00172.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00173.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00174.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00175.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00176.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00177.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00178.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00179.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00180.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00181.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00182.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00183.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00184.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00185.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00186.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00164.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00165.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00166.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00187.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00188.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00189.jpg 0.4473684210526316 #['1001111111111111111', '0000000000000000000']
image_00163.jpg 0.42105263157894735 #['1111110110101111111', '0000000000000000000']
image_00190.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00191.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00140.jpg 0.39473684210526316 #['0111011001111111111', '0000000000000000000']
image_00141.jpg 0.39473684210526316 #['1111010001111111111', '0000000000000000000']
image_00146.jpg 0.39473684210526316 #['1001111101101111111', '0000000000000000000']
image_00161.jpg 0.39473684210526316 #['1111110110001111111', '0000000000000000000']
image_00162.jpg 0.39473684210526316 #['1111110110001111111', '0000000000000000000']
image_00142.jpg 0.34210526315789475 #['1110110000101111111', '0000000000000000000']
image_00160.jpg 0.34210526315789475 #['1111010100001111111', '0000000000000000000']
image_00139.jpg 0.3157894736842105 #['1011010000101111111', '0000000000000000000']
image_00143.jpg 0.3157894736842105 #['1101100000101111111', '0000000000000000000']
image_00144.jpg 0.3157894736842105 #['1101001001001111111', '0000000000000000000']
image_00038.jpg 0.2894736842105263 #['0001110000101111111', '0000000000000000000']
image_00039.jpg 0.2894736842105263 #['0001110000101111111', '0000000000000000000']
image_00040.jpg 0.2894736842105263 #['0001110000101111111', '0000000000000000000']
image_00145.jpg 0.2894736842105263 #['1001001001001111111', '0000000000000000000']
image_00137.jpg 0.2631578947368421 #['1010010000001111111', '0000000000000000000']
image_00138.jpg 0.2631578947368421 #['1010010000001111111', '0000000000000000000']
image_00157.jpg 0.2631578947368421 #['1010010000001111111', '0000000000000000000']
image_00158.jpg 0.2631578947368421 #['1010010000001111111', '0000000000000000000']
image_00159.jpg 0.2631578947368421 #['1010010000001111111', '0000000000000000000']
