image_00167.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00168.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00169.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00170.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00171.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00172.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00173.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00174.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00175.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00176.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00177.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00178.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00179.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00180.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00181.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00182.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00183.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00184.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00185.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00186.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00187.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00188.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00189.jpg 0.4473684210526316 #['1001111111111111111', '0000000000000000000']
image_00190.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00191.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00140.jpg 0.39473684210526316 #['0111011001111111111', '0000000000000000000']
image_00141.jpg 0.39473684210526316 #['1111010001111111111', '0000000000000000000']
image_00192.jpg 0.23684210526315788 #['0001111011110100000', '0000000000000000000']
image_00308.jpg 0.21052631578947367 #['0000000000000000000', '0001111001110100000']
image_00309.jpg 0.21052631578947367 #['0000000000000000000', '0001111001110100000']
image_00310.jpg 0.21052631578947367 #['0000000000000000000', '0001111001110100000']
image_00046.jpg 0.18421052631578946 #['0100111001110000000', '0000000000000000000']
image_00047.jpg 0.18421052631578946 #['0100111001110000000', '0000000000000000000']
image_00305.jpg 0.18421052631578946 #['0000000000000000000', '0001110001110100000']
image_00306.jpg 0.18421052631578946 #['0000000000000000000', '0001110001110100000']
image_00307.jpg 0.18421052631578946 #['0000000000000000000', '0001110001110100000']
image_00045.jpg 0.15789473684210525 #['0100110001110000000', '0000000000000000000']
image_00048.jpg 0.15789473684210525 #['0000111001110000000', '0000000000000000000']
image_00300.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00301.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00302.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00303.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00304.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00044.jpg 0.13157894736842105 #['0100100001110000000', '0000000000000000000']
image_00049.jpg 0.13157894736842105 #['0000011001110000000', '0000000000000000000']
image_00050.jpg 0.13157894736842105 #['0000011001110000000', '0000000000000000000']
image_00218.jpg 0.13157894736842105 #['0000000000000000000', '0000011001110000000']
image_00219.jpg 0.13157894736842105 #['0000000000000000000', '0000011001110000000']
image_00220.jpg 0.13157894736842105 #['0000000000000000000', '0000011001110000000']
image_00222.jpg 0.13157894736842105 #['0000000000000000000', '0000110001110000000']
image_00223.jpg 0.13157894736842105 #['0000000000000000000', '0000110001110000000']
image_00265.jpg 0.13157894736842105 #['0000000000000000000', '0000001101110000000']
image_00266.jpg 0.13157894736842105 #['0000000000000000000', '0100001001110000000']
image_00043.jpg 0.10526315789473684 #['0000100001110000000', '0000000000000000000']
image_00056.jpg 0.10526315789473684 #['0000010001110000000', '0000000000000000000']
image_00221.jpg 0.10526315789473684 #['0000000000000000000', '0000010001110000000']
image_00055.jpg 0.07894736842105263 #['0000000001110000000', '0000000000000000000']
