image_00167.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00168.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00169.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00170.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00171.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00172.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00173.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00174.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00175.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00176.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00177.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00178.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00179.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00180.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00181.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00182.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00183.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00184.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00185.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00186.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00187.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00188.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00189.jpg 0.4473684210526316 #['1001111111111111111', '0000000000000000000']
image_00190.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00191.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00192.jpg 0.23684210526315788 #['0001111011110100000', '0000000000000000000']
image_00308.jpg 0.21052631578947367 #['0000000000000000000', '0001111001110100000']
image_00309.jpg 0.21052631578947367 #['0000000000000000000', '0001111001110100000']
image_00310.jpg 0.21052631578947367 #['0000000000000000000', '0001111001110100000']
image_00305.jpg 0.18421052631578946 #['0000000000000000000', '0001110001110100000']
image_00306.jpg 0.18421052631578946 #['0000000000000000000', '0001110001110100000']
image_00307.jpg 0.18421052631578946 #['0000000000000000000', '0001110001110100000']
image_00300.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00301.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00302.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00303.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
image_00304.jpg 0.15789473684210525 #['0000000000000000000', '0001110001110000000']
