image_00167.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00168.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00169.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00170.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00171.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00172.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00173.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00174.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00175.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00176.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00177.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00178.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00179.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00180.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00181.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00182.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00183.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00184.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00185.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00186.jpg 0.5 #['1111111111111111111', '0000000000000000000']
image_00164.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00165.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00166.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00187.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00188.jpg 0.47368421052631576 #['1101111111111111111', '0000000000000000000']
image_00189.jpg 0.4473684210526316 #['1001111111111111111', '0000000000000000000']
image_00190.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00191.jpg 0.42105263157894735 #['1001111011111111111', '0000000000000000000']
image_00146.jpg 0.39473684210526316 #['1001111101101111111', '0000000000000000000']
image_00144.jpg 0.3157894736842105 #['1101001001001111111', '0000000000000000000']
image_00145.jpg 0.2894736842105263 #['1001001001001111111', '0000000000000000000']
