image_00257.jpg 0.13157894736842105 #['1001110000000000000', '0010000000000000000']
image_00167.jpg 0.10526315789473684 #['0001110000000000000', '0010000000000000000']
image_00168.jpg 0.10526315789473684 #['0001110000000000000', '0010000000000000000']
image_00169.jpg 0.10526315789473684 #['0001110000000000000', '0010000000000000000']
image_00256.jpg 0.10526315789473684 #['0001110000000000000', '0010000000000000000']
image_00258.jpg 0.10526315789473684 #['0001110000000000000', '0010000000000000000']
image_00259.jpg 0.10526315789473684 #['0001110000000000000', '0010000000000000000']
image_00557.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00558.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00559.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00560.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00561.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00562.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00563.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00564.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00565.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00566.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00567.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
image_00568.jpg 0.07894736842105263 #['0000000000000000000', '0001110000000000000']
