image_00347.jpg 0.42105263157894735 #['1011001111111111111', '0000000000000000000']
image_00348.jpg 0.42105263157894735 #['1011001111111111111', '0000000000000000000']
image_00343.jpg 0.39473684210526316 #['1011101101101111111', '0000000000000000000']
image_00344.jpg 0.39473684210526316 #['1011101101101111111', '0000000000000000000']
image_00349.jpg 0.39473684210526316 #['1011001111011111111', '0000000000000000000']
image_00342.jpg 0.3684210526315789 #['0011101101101111111', '0000000000000000000']
image_00345.jpg 0.3684210526315789 #['1011001101101111111', '0000000000000000000']
image_00346.jpg 0.3684210526315789 #['1011001101101111111', '0000000000000000000']
image_00350.jpg 0.34210526315789475 #['1101001001011111111', '0000000000000000000']
image_00340.jpg 0.3157894736842105 #['0011110001001111111', '0000000000000000000']
image_00341.jpg 0.3157894736842105 #['0011110001001111111', '0000000000000000000']
image_00351.jpg 0.3157894736842105 #['1100001001011111111', '0000000000000000000']
