image_00347.jpg 0.42105263157894735 #['1011001111111111111', '0000000000000000000']
image_00348.jpg 0.42105263157894735 #['1011001111111111111', '0000000000000000000']
image_00284.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00285.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00286.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00287.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00288.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00289.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00290.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00291.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00292.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00293.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00294.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00295.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00338.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00296.jpg 0.15789473684210525 #['0001110001110000000', '0000000000000000000']
