image_00340.jpg 0.3157894736842105 #['0011110001001111111', '0000000000000000000']
image_00341.jpg 0.3157894736842105 #['0011110001001111111', '0000000000000000000']
image_00276.jpg 0.21052631578947367 #['1011110000110000000', '0010000000000000000']
image_00284.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00285.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00286.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00287.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00288.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00289.jpg 0.21052631578947367 #['0111110001110000000', '0000000000000000000']
image_00277.jpg 0.18421052631578946 #['0011110000110000000', '0010000000000000000']
image_00281.jpg 0.18421052631578946 #['0111110000110000000', '0000000000000000000']
image_00282.jpg 0.18421052631578946 #['0111110000110000000', '0000000000000000000']
image_00283.jpg 0.18421052631578946 #['0111110000110000000', '0000000000000000000']
image_00290.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00291.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00292.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00293.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00294.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00295.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00338.jpg 0.18421052631578946 #['0011110001110000000', '0000000000000000000']
image_00272.jpg 0.15789473684210525 #['1001110000100000000', '0010000000000000000']
image_00273.jpg 0.15789473684210525 #['1001110000100000000', '0010000000000000000']
image_00274.jpg 0.15789473684210525 #['1001110000100000000', '0010000000000000000']
image_00275.jpg 0.15789473684210525 #['1001110000100000000', '0010000000000000000']
image_00278.jpg 0.15789473684210525 #['0011110000110000000', '0000000000000000000']
image_00279.jpg 0.15789473684210525 #['0011110000110000000', '0000000000000000000']
image_00280.jpg 0.15789473684210525 #['0011110000110000000', '0000000000000000000']
image_00296.jpg 0.15789473684210525 #['0001110001110000000', '0000000000000000000']
image_00298.jpg 0.15789473684210525 #['1001110000110000000', '0000000000000000000']
image_00299.jpg 0.15789473684210525 #['1001110000110000000', '0000000000000000000']
image_00300.jpg 0.15789473684210525 #['1001110000110000000', '0000000000000000000']
image_00303.jpg 0.15789473684210525 #['1001110000110000000', '0000000000000000000']
image_00304.jpg 0.15789473684210525 #['1001110000110000000', '0000000000000000000']
image_00336.jpg 0.15789473684210525 #['0011110000110000000', '0000000000000000000']
image_00337.jpg 0.15789473684210525 #['0011110000110000000', '0000000000000000000']
image_00267.jpg 0.13157894736842105 #['0001110000000100000', '0010000000000000000']
image_00268.jpg 0.13157894736842105 #['0001110000000100000', '0010000000000000000']
image_00269.jpg 0.13157894736842105 #['0001110000000100000', '0010000000000000000']
image_00271.jpg 0.13157894736842105 #['0001110000100000000', '0010000000000000000']
image_00297.jpg 0.13157894736842105 #['0001110000110000000', '0000000000000000000']
image_00301.jpg 0.13157894736842105 #['1001110000100000000', '0000000000000000000']
image_00302.jpg 0.13157894736842105 #['1001110000100000000', '0000000000000000000']
image_00305.jpg 0.13157894736842105 #['1001110000100000000', '0000000000000000000']
image_00312.jpg 0.13157894736842105 #['0001110000110000000', '0000000000000000000']
image_00334.jpg 0.13157894736842105 #['0001110000100000000', '0000010000000000000']
image_00339.jpg 0.13157894736842105 #['0011110001000000000', '0000000000000000000']
image_00306.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00307.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00308.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00309.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00310.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00311.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00313.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00314.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00315.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00316.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00317.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00318.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00333.jpg 0.10526315789473684 #['0001110000000000000', '0000010000000000000']
image_00335.jpg 0.10526315789473684 #['0001110000100000000', '0000000000000000000']
image_00319.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00320.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00321.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00322.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00323.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00324.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00325.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00326.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00327.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00328.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00329.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00330.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00331.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
image_00332.jpg 0.07894736842105263 #['0001110000000000000', '0000000000000000000']
