image_00347.jpg 0.42105263157894735 #['1011001111111111111', '0000000000000000000']
image_00348.jpg 0.42105263157894735 #['1011001111111111111', '0000000000000000000']
image_00349.jpg 0.39473684210526316 #['1011001111011111111', '0000000000000000000']
image_00194.jpg 0.21052631578947367 #['0010010000000000000', '1100101110000000000']
image_00195.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00196.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00197.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00198.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00199.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00200.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00201.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00202.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00203.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00213.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00214.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
image_00215.jpg 0.18421052631578946 #['0010000000000000000', '1100101110000000000']
