image_00132.jpg 0.4473684210526316 #['1111101011111111111', '0000000000000000000']
image_00161.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00162.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00163.jpg 0.4473684210526316 #['1111111001111111111', '0000000000000000000']
image_00131.jpg 0.42105263157894735 #['1111101011011111111', '0000000000000000000']
image_00160.jpg 0.42105263157894735 #['1111111010101111111', '0000000000000000000']
image_00133.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00134.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00135.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00137.jpg 0.34210526315789475 #['1111001000011111111', '0000000000000000000']
image_00158.jpg 0.34210526315789475 #['1110010101001111111', '0000000000000000000']
image_00159.jpg 0.34210526315789475 #['1111010100001111111', '0000000000000000000']
image_00138.jpg 0.3157894736842105 #['1111001000001111111', '0000000000000000000']
image_00164.jpg 0.2894736842105263 #['1111111001110100000', '0000000000000000000']
image_00258.jpg 0.21052631578947367 #['1110011101010000000', '0000000000000000000']
image_00157.jpg 0.18421052631578946 #['1110011101000000000', '0000000000000000000']
image_00249.jpg 0.18421052631578946 #['1110001111000000000', '0000000000000000000']
image_00252.jpg 0.18421052631578946 #['1110011110000000000', '0000000000000000000']
image_00250.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00251.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00253.jpg 0.15789473684210525 #['1110011100000000000', '0000000000000000000']
image_00259.jpg 0.15789473684210525 #['1110001100010000000', '0000000000000000000']
image_00156.jpg 0.13157894736842105 #['1110010100000000000', '0000000000000000000']
image_00245.jpg 0.13157894736842105 #['1110000110000000000', '0000000000000000000']
image_00246.jpg 0.13157894736842105 #['1110000110000000000', '0000000000000000000']
