image_00128.jpg 0.4473684210526316 #['1011111111101111111', '0000000000000000000']
image_00130.jpg 0.4473684210526316 #['1011101111111111111', '0000000000000000000']
image_00132.jpg 0.4473684210526316 #['1111101011111111111', '0000000000000000000']
image_00161.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00162.jpg 0.4473684210526316 #['1111111011101111111', '0000000000000000000']
image_00163.jpg 0.4473684210526316 #['1111111001111111111', '0000000000000000000']
image_00129.jpg 0.42105263157894735 #['1011101111101111111', '0000000000000000000']
image_00131.jpg 0.42105263157894735 #['1111101011011111111', '0000000000000000000']
image_00133.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00134.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00135.jpg 0.3684210526315789 #['1111001001101111111', '0000000000000000000']
image_00136.jpg 0.3157894736842105 #['1101001001001111111', '0000000000000000000']
image_00164.jpg 0.2894736842105263 #['1111111001110100000', '0000000000000000000']
image_00088.jpg 0.23684210526315788 #['0000000000000000000', '1101101101100100000']
image_00200.jpg 0.23684210526315788 #['0000000000000000000', '1011011101110000000']
