image_00122.jpg 0.34210526315789475 #['0001111001101111111', '0000000000000000000']
image_00123.jpg 0.34210526315789475 #['0001111001101111111', '0000000000000000000']
image_00124.jpg 0.34210526315789475 #['0001111001101111111', '0000000000000000000']
image_00125.jpg 0.34210526315789475 #['0001111001101111111', '0000000000000000000']
image_00126.jpg 0.34210526315789475 #['0001111001101111111', '0000000000000000000']
image_00391.jpg 0.34210526315789475 #['1101110001001111111', '0000000000000000000']
image_00392.jpg 0.34210526315789475 #['1101110001001111111', '0000000000000000000']
image_00393.jpg 0.34210526315789475 #['1101110001001111111', '0000000000000000000']
image_00118.jpg 0.3157894736842105 #['0001111001001111111', '0000000000000000000']
image_00119.jpg 0.3157894736842105 #['0001111001001111111', '0000000000000000000']
image_00120.jpg 0.3157894736842105 #['0001111001001111111', '0000000000000000000']
image_00121.jpg 0.3157894736842105 #['0001111001001111111', '0000000000000000000']
image_00196.jpg 0.3157894736842105 #['0101110001001111111', '0000000000000000000']
image_00197.jpg 0.3157894736842105 #['0101110001001111111', '0000000000000000000']
image_00198.jpg 0.3157894736842105 #['0101110001001111111', '0000000000000000000']
image_00199.jpg 0.3157894736842105 #['0101110001001111111', '0000000000000000000']
image_00200.jpg 0.3157894736842105 #['0101110001001111111', '0000000000000000000']
image_00201.jpg 0.3157894736842105 #['0101110001001111111', '0000000000000000000']
image_00390.jpg 0.3157894736842105 #['1001110001001111111', '0000000000000000000']
image_00394.jpg 0.3157894736842105 #['1001110001001111111', '0000000000000000000']
image_00395.jpg 0.3157894736842105 #['1001110001001111111', '0000000000000000000']
image_00396.jpg 0.3157894736842105 #['1001110001001111111', '0000000000000000000']
image_00113.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00114.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00115.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00116.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00117.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00202.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00203.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00204.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00205.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00206.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00207.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00208.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00388.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00389.jpg 0.2894736842105263 #['0001110001001111111', '0000000000000000000']
image_00460.jpg 0.23684210526315788 #['1101111001100000000', '0010000000000000000']
image_00461.jpg 0.23684210526315788 #['1101111001100000000', '0010000000000000000']
image_00462.jpg 0.23684210526315788 #['1101111001100000000', '0010000000000000000']
image_00469.jpg 0.23684210526315788 #['1101111001100000000', '0100000000000000000']
image_00459.jpg 0.21052631578947367 #['1001111001100000000', '0010000000000000000']
image_00463.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00464.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
