image_00460.jpg 0.23684210526315788 #['1101111001100000000', '0010000000000000000']
image_00461.jpg 0.23684210526315788 #['1101111001100000000', '0010000000000000000']
image_00462.jpg 0.23684210526315788 #['1101111001100000000', '0010000000000000000']
image_00469.jpg 0.23684210526315788 #['1101111001100000000', '0100000000000000000']
image_00459.jpg 0.21052631578947367 #['1001111001100000000', '0010000000000000000']
image_00463.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00464.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00465.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00466.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00467.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00468.jpg 0.21052631578947367 #['1101111001100000000', '0000000000000000000']
image_00415.jpg 0.15789473684210525 #['1001111001000000000', '0000000000000000000']
