image_00099.jpg 0.3157894736842105 #['1011110000001111111', '0000000000000000000']
image_00100.jpg 0.3157894736842105 #['1011110000001111111', '0000000000000000000']
image_00105.jpg 0.3157894736842105 #['1011000000111111111', '0000000000000000000']
image_00097.jpg 0.2894736842105263 #['1011010000001111111', '0000000000000000000']
image_00098.jpg 0.2894736842105263 #['1011010000001111111', '0000000000000000000']
image_00104.jpg 0.2894736842105263 #['1011000000101111111', '0000000000000000000']
image_00095.jpg 0.2631578947368421 #['0011100000001111111', '0000000000000000000']
image_00103.jpg 0.2631578947368421 #['1011000000001111111', '0000000000000000000']
image_00096.jpg 0.23684210526315788 #['0011000000001111111', '0000000000000000000']
image_00119.jpg 0.23684210526315788 #['0101000000001111111', '0000000000000000000']
image_00120.jpg 0.23684210526315788 #['0101000000001111111', '0000000000000000000']
image_00121.jpg 0.23684210526315788 #['0101000000001111111', '0000000000000000000']
