image_00438.jpg 0.5 #['0000000000000000000', '1111111111111111111']
image_00057.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00058.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00059.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00060.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00167.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00168.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00169.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00170.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00171.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00172.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00393.jpg 0.47368421052631576 #['0000000000000000000', '1111011111111111111']
image_00437.jpg 0.47368421052631576 #['0000000000000000000', '1111101111111111111']
image_00392.jpg 0.4473684210526316 #['0000000000000000000', '1111001111111111111']
image_00470.jpg 0.4473684210526316 #['1111001111111111111', '0000000000000000000']
image_00471.jpg 0.4473684210526316 #['1111001111111111111', '0000000000000000000']
image_00388.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00389.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00390.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00391.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00472.jpg 0.42105263157894735 #['1101001111111111111', '0000000000000000000']
image_00041.jpg 0.39473684210526316 #['0001111101111111111', '0000000000000000000']
image_00056.jpg 0.39473684210526316 #['0000000000000000000', '1101001101111111111']
image_00383.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00384.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00385.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00386.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00387.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00473.jpg 0.39473684210526316 #['1001111001111111111', '0000000000000000000']
image_00039.jpg 0.3684210526315789 #['0001111001111111111', '0000000000000000000']
image_00040.jpg 0.3684210526315789 #['0001111001111111111', '0000000000000000000']
image_00474.jpg 0.3684210526315789 #['0001111001111111111', '0000000000000000000']
image_00475.jpg 0.34210526315789475 #['0001110001111111111', '0000000000000000000']
image_00038.jpg 0.3157894736842105 #['0001110001111011111', '0000000000000000000']
image_00476.jpg 0.15789473684210525 #['0001110001110000000', '0000000000000000000']
