image_00438.jpg 0.5 #['0000000000000000000', '1111111111111111111']
image_00057.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00058.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00059.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00060.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00167.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00168.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00169.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00170.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00171.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00172.jpg 0.47368421052631576 #['0000000000000000000', '1101111111111111111']
image_00041.jpg 0.39473684210526316 #['0001111101111111111', '0000000000000000000']
image_00473.jpg 0.39473684210526316 #['1001111001111111111', '0000000000000000000']
image_00039.jpg 0.3684210526315789 #['0001111001111111111', '0000000000000000000']
image_00040.jpg 0.3684210526315789 #['0001111001111111111', '0000000000000000000']
image_00474.jpg 0.3684210526315789 #['0001111001111111111', '0000000000000000000']
image_00475.jpg 0.34210526315789475 #['0001110001111111111', '0000000000000000000']
image_00038.jpg 0.3157894736842105 #['0001110001111011111', '0000000000000000000']
image_00476.jpg 0.15789473684210525 #['0001110001110000000', '0000000000000000000']
