image_00438.jpg 0.5 #['0000000000000000000', '1111111111111111111']
image_00043.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00045.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00046.jpg 0.47368421052631576 #['1111111111101111111', '0000000000000000000']
image_00057.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00058.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00059.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00060.jpg 0.47368421052631576 #['0000000000000000000', '1111111101111111111']
image_00061.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00062.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00063.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00064.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00065.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00066.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00067.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00068.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00069.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00070.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00071.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00393.jpg 0.47368421052631576 #['0000000000000000000', '1111011111111111111']
image_00401.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00402.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00403.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00404.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00405.jpg 0.47368421052631576 #['0000000000000000000', '1111111111101111111']
image_00437.jpg 0.47368421052631576 #['0000000000000000000', '1111101111111111111']
image_00447.jpg 0.47368421052631576 #['0000000000000000000', '1111111111011111111']
image_00448.jpg 0.47368421052631576 #['0000000000000000000', '1111111111011111111']
image_00044.jpg 0.4473684210526316 #['1111101111101111111', '0000000000000000000']
image_00392.jpg 0.4473684210526316 #['0000000000000000000', '1111001111111111111']
image_00470.jpg 0.4473684210526316 #['1111001111111111111', '0000000000000000000']
image_00471.jpg 0.4473684210526316 #['1111001111111111111', '0000000000000000000']
image_00388.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00389.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
