image_00274.jpg 0.47368421052631576 #['0111111111111111111', '0000000000000000000']
image_01330.jpg 0.4473684210526316 #['1111111101101111111', '0000000000000000000']
image_01331.jpg 0.4473684210526316 #['1111111101101111111', '0000000000000000000']
image_01332.jpg 0.4473684210526316 #['1111111101101111111', '0000000000000000000']
image_01329.jpg 0.39473684210526316 #['1101101101101111111', '0000000000000000000']
image_00125.jpg 0.3684210526315789 #['1110001110011111111', '0000000000000000000']
image_00126.jpg 0.3684210526315789 #['1110001110011111111', '0000000000000000000']
image_00128.jpg 0.34210526315789475 #['1110001110001111111', '0000000000000000000']
image_00127.jpg 0.3157894736842105 #['0110001110001111111', '0000000000000000000']
image_00129.jpg 0.3157894736842105 #['0110001110001111111', '0000000000000000000']
image_00726.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00727.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00728.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00729.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00730.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00731.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00732.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00733.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00734.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00735.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00736.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00737.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00738.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00739.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00740.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00741.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00742.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00743.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00744.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00745.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00746.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00747.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00748.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00749.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00750.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00751.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00752.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00753.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
image_00754.jpg 0.3157894736842105 #['1110001100001111111', '0000000000000000000']
