image_00274.jpg 0.47368421052631576 #['0111111111111111111', '0000000000000000000']
image_01330.jpg 0.4473684210526316 #['1111111101101111111', '0000000000000000000']
image_01331.jpg 0.4473684210526316 #['1111111101101111111', '0000000000000000000']
image_01332.jpg 0.4473684210526316 #['1111111101101111111', '0000000000000000000']
image_01333.jpg 0.23684210526315788 #['0101111111100000000', '0000000000000000000']
image_01334.jpg 0.23684210526315788 #['0101111111100000000', '0000000000000000000']
image_01335.jpg 0.21052631578947367 #['0001111111100000000', '0000000000000000000']
image_01336.jpg 0.21052631578947367 #['0001111111100000000', '0000000000000000000']
image_01337.jpg 0.21052631578947367 #['0001111111100000000', '0000000000000000000']
image_01339.jpg 0.18421052631578946 #['0001111011100000000', '0000000000000000000']
image_01340.jpg 0.18421052631578946 #['0001111011100000000', '0000000000000000000']
image_01338.jpg 0.15789473684210525 #['0001111001100000000', '0000000000000000000']
image_01341.jpg 0.15789473684210525 #['0001111011000000000', '0000000000000000000']
