image_00125.jpg 0.3684210526315789 #['1110001110011111111', '0000000000000000000']
image_00126.jpg 0.3684210526315789 #['1110001110011111111', '0000000000000000000']
image_00128.jpg 0.34210526315789475 #['1110001110001111111', '0000000000000000000']
image_01323.jpg 0.23684210526315788 #['1110011110110000000', '0000000000000000000']
image_00124.jpg 0.21052631578947367 #['1110001110010100000', '0000000000000000000']
image_00151.jpg 0.21052631578947367 #['1110001110110000000', '0000000000000000000']
image_00152.jpg 0.21052631578947367 #['1110001111010000000', '0000000000000000000']
image_00164.jpg 0.21052631578947367 #['1110001111010000000', '0000000000000000000']
image_01322.jpg 0.21052631578947367 #['1110001110110000000', '0000000000000000000']
image_00119.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00120.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00121.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00122.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00123.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00130.jpg 0.18421052631578946 #['1110001110000100000', '0000000000000000000']
image_00131.jpg 0.18421052631578946 #['1110001110000100000', '0000000000000000000']
image_00147.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00148.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00149.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00150.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00163.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00165.jpg 0.18421052631578946 #['1110001111000000000', '0000000000000000000']
image_00133.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00134.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00135.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00136.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00137.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00138.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00146.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
