image_00274.jpg 0.47368421052631576 #['0111111111111111111', '0000000000000000000']
image_00125.jpg 0.3684210526315789 #['1110001110011111111', '0000000000000000000']
image_00126.jpg 0.3684210526315789 #['1110001110011111111', '0000000000000000000']
image_00128.jpg 0.34210526315789475 #['1110001110001111111', '0000000000000000000']
image_00127.jpg 0.3157894736842105 #['0110001110001111111', '0000000000000000000']
image_00129.jpg 0.3157894736842105 #['0110001110001111111', '0000000000000000000']
image_01323.jpg 0.23684210526315788 #['1110011110110000000', '0000000000000000000']
image_01333.jpg 0.23684210526315788 #['0101111111100000000', '0000000000000000000']
image_01334.jpg 0.23684210526315788 #['0101111111100000000', '0000000000000000000']
image_00124.jpg 0.21052631578947367 #['1110001110010100000', '0000000000000000000']
image_00151.jpg 0.21052631578947367 #['1110001110110000000', '0000000000000000000']
image_00152.jpg 0.21052631578947367 #['1110001111010000000', '0000000000000000000']
image_00164.jpg 0.21052631578947367 #['1110001111010000000', '0000000000000000000']
image_01322.jpg 0.21052631578947367 #['1110001110110000000', '0000000000000000000']
image_01335.jpg 0.21052631578947367 #['0001111111100000000', '0000000000000000000']
image_01336.jpg 0.21052631578947367 #['0001111111100000000', '0000000000000000000']
image_01337.jpg 0.21052631578947367 #['0001111111100000000', '0000000000000000000']
image_00119.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00120.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00121.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00122.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00123.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00130.jpg 0.18421052631578946 #['1110001110000100000', '0000000000000000000']
image_00131.jpg 0.18421052631578946 #['1110001110000100000', '0000000000000000000']
image_00147.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00148.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00149.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00150.jpg 0.18421052631578946 #['1110001110100000000', '0000000000000000000']
image_00163.jpg 0.18421052631578946 #['1110001110010000000', '0000000000000000000']
image_00165.jpg 0.18421052631578946 #['1110001111000000000', '0000000000000000000']
image_00107.jpg 0.15789473684210525 #['1100001111000000000', '0000000000000000000']
image_00115.jpg 0.15789473684210525 #['1100001110010000000', '0000000000000000000']
image_00116.jpg 0.15789473684210525 #['1100001110010000000', '0000000000000000000']
image_00117.jpg 0.15789473684210525 #['1100001110010000000', '0000000000000000000']
image_00118.jpg 0.15789473684210525 #['1100001110010000000', '0000000000000000000']
image_00133.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00134.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00135.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00136.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00137.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00138.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00146.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00166.jpg 0.15789473684210525 #['0110001111000000000', '0000000000000000000']
image_00167.jpg 0.15789473684210525 #['0110001111000000000', '0000000000000000000']
image_00168.jpg 0.15789473684210525 #['0110001111000000000', '0000000000000000000']
image_00169.jpg 0.15789473684210525 #['0110001111000000000', '0000000000000000000']
image_00099.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00100.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00101.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00102.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00103.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00104.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00106.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00111.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00112.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00113.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00114.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00132.jpg 0.13157894736842105 #['1100001110000000000', '0000000000000000000']
image_00139.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00140.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00141.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00144.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00145.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00173.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00174.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00175.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00176.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_01315.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_01316.jpg 0.13157894736842105 #['0110001110000000000', '0000000000000000000']
image_00098.jpg 0.10526315789473684 #['0100001110000000000', '0000000000000000000']
image_00110.jpg 0.10526315789473684 #['0100001110000000000', '0000000000000000000']
